Etiquetas,Sector,Consigna,Long,Lat,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS,C13-CAM,C13-CPARA EL TRABAJO,C13_PREESC,C13_PRIM,C13_SEC,C13_BACH,C13_SUP
9118,MORELOS,1,-99.128012,19.445684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10539,MORELOS,1,-99.134024,19.446072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
10541,MORELOS,1,-99.125225,19.451492,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10552,MORELOS,1,-99.125818,19.441776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12318,CONGRESO,12,-99.119716,19.435075,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12315,CONGRESO,11,-99.119564,19.435996,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,CONGRESO,4,-99.125303,19.428388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,CONGRESO,1,-99.123767,19.438673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9283,CONGRESO,1,-99.125114,19.430774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,837,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11813,CONGRESO,1,-99.11597,19.432031,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11976,CONGRESO,1,-99.114906,19.435385,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12082,CONGRESO,1,-99.124514,19.431176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,802,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12089,CONGRESO,1,-99.120495,19.431794,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,128,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12314,CONGRESO,1,-99.117888,19.436802,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2469,CENTRO,59,-99.130905,19.441823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2407,CENTRO,48,-99.139135,19.439575,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,269,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
12578,CENTRO,47,-99.139482,19.439129,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,179,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0
2286,CENTRO,44,-99.139856,19.439694,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,2,1,0,1,227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
2424,CENTRO,40,-99.13163,19.442373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5934,CENTRO,25,-99.139004,19.443353,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,1,2,0,0,0,213,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2414,CENTRO,24,-99.139318,19.442783,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,0,0,0,1,1,0,0,0,113,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6192,CENTRO,24,-99.140033,19.438664,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,3,0,0,1,303,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0
2191,CENTRO,21,-99.125049,19.440235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2422,CENTRO,19,-99.131124,19.440801,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6756,CENTRO,19,-99.131194,19.440091,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
2480,CENTRO,18,-99.135327,19.443717,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1279,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2530,CENTRO,17,-99.131426,19.425844,3,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,830,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0
2537,CENTRO,17,-99.130616,19.425953,2,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,490,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
10471,CENTRO,17,-99.125008,19.440954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10544,CENTRO,17,-99.135261,19.444372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,637,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2428,CENTRO,15,-99.139173,19.440334,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,1,0,1,235,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2472,CENTRO,14,-99.138832,19.442043,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,572,0,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2208,CENTRO,13,-99.12561,19.426599,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1880,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,CENTRO,13,-99.125817,19.440236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
2445,CENTRO,13,-99.126235,19.426526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1332,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,CENTRO,12,-99.125083,19.439694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
10482,CENTRO,12,-99.138687,19.439652,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,319,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
10465,CENTRO,11,-99.125779,19.4409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2474,CENTRO,10,-99.137899,19.443182,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3,1,0,0,0,1371,0,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2485,CENTRO,10,-99.131558,19.436499,5,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,9,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
10472,CENTRO,10,-99.126949,19.426665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,CENTRO,9,-99.131729,19.435731,5,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,1,12,1,0,0,5,1,1,2,1,0,0,0,0,0,0,0,0,0
2436,CENTRO,9,-99.128759,19.426126,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10147,CENTRO,9,-99.12794,19.426005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
496,CENTRO,8,-99.132863,19.42645,11,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,2,1,0,0
1338,CENTRO,8,-99.129735,19.436306,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,489,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1
2346,CENTRO,8,-99.132922,19.425798,10,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,931,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,2,1,0,0
2421,CENTRO,8,-99.133077,19.440646,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,435,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2471,CENTRO,8,-99.132707,19.443258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6194,CENTRO,8,-99.133031,19.442477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,332,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2411,CENTRO,7,-99.12571,19.425677,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1695,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,CENTRO,7,-99.127661,19.435191,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1031,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1
1340,CENTRO,6,-99.129454,19.437053,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,884,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0
2405,CENTRO,6,-99.13356,19.437682,14,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,1,4,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,0,1
2467,CENTRO,6,-99.124827,19.441691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,336,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0
490,CENTRO,5,-99.131158,19.428019,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1056,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0
