id,latitud,longitud,sector,tipo,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C13-EDUCACION,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS
495,19.429567,-99.150901,ALAMEDA,9m,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
496,19.42645,-99.132863,CENTRO,9m,11,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0
936,19.425001,-99.116335,CONGRESO,9m,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,19.417856,-99.118833,CONGRESO,9m,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,19.423099,-99.119431,CONGRESO,9m,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,50,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
944,19.437138,-99.121099,CONGRESO,9m,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,19.438573,-99.121832,CONGRESO,9m,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1320,19.423001,-99.126099,CENTRO,9m,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,801,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1338,19.436306,-99.129735,CENTRO,9m,2,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,489,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
1340,19.437053,-99.129454,CENTRO,9m,2,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,884,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
1344,19.430279,-99.146814,ALAMEDA,9m,3,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,621,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0
1345,19.427296,-99.132249,CENTRO,9m,8,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
